sampleID	dnaSampleID	siteID	sequencerRunID	internalLabID	collectDate	processedDate	sampleTotalReadNumber	sampleFilteredReadNumber	ncbiProjectID	remarks
JERC_048-M-20160727	JERC_048-M-20160727-COMP-DNA1	JERC	HFWM2BGX7	BMI_Plate3WellB7	2016-07-27T14:00:00Z	2018-09-26T00:00:00Z	1938332	1652060	PRJNA406974	paired ends may be out of order
OSBS_029-M-20160822	OSBS_029-M-20160822-COMP-DNA1	OSBS	HVC57BGX5	BMI_Plate42WellB8	2016-08-22T15:09:00Z	2018-05-21T00:00:00Z	4865311	520952	PRJNA406974	paired ends may be out of order
OSBS_026-M-20160822	OSBS_026-M-20160822-COMP-DNA1	OSBS	HVC57BGX5	BMI_Plate42WellB6	2016-08-22T16:56:00Z	2018-05-21T00:00:00Z	2200742	674714	PRJNA406974	paired ends may be out of order
OSBS_023-O-20160823	OSBS_023-O-20160823-COMP-DNA1	OSBS	HVC57BGX5	BMI_Plate42WellB5	2016-08-23T14:04:00Z	2018-05-21T00:00:00Z	20784089	2419599	PRJNA406974	paired ends may be out of order
OSBS_022-O-20160823	OSBS_022-O-20160823-COMP-DNA1	OSBS	HVC57BGX5	BMI_Plate42WellB4	2016-08-23T15:53:00Z	2018-05-21T00:00:00Z	10749686	2477981	PRJNA406974	paired ends may be out of order
OSBS_003-M-20160823	OSBS_003-M-20160823-COMP-DNA1	OSBS	HVC57BGX5	BMI_Plate42WellB2	2016-08-23T17:50:00Z	2018-05-21T00:00:00Z	9190077	1181552	PRJNA406974	paired ends may be out of order
OSBS_001-O-20160824	OSBS_001-O-20160824-COMP-DNA1	OSBS	HVC57BGX5	BMI_Plate42WellA12	2016-08-24T14:04:00Z	2018-05-21T00:00:00Z	14803276	1800120	PRJNA406974	paired ends may be out of order
OSBS_005-O-20160824	OSBS_005-O-20160824-COMP-DNA1	OSBS	HVC57BGX5	BMI_Plate42WellB3	2016-08-24T16:06:00Z	2018-05-21T00:00:00Z	21511567	3722513	PRJNA406974	paired ends may be out of order
OSBS_031-M-20160825	OSBS_031-M-20160825-COMP-DNA1	OSBS	HVC57BGX5	BMI_Plate42WellB9	2016-08-25T13:48:00Z	2018-05-21T00:00:00Z	6562922	615541	PRJNA406974	paired ends may be out of order
OSBS_027-M-20160825	OSBS_027-M-20160825-COMP-DNA1	OSBS	HVC57BGX5	BMI_Plate42WellB7	2016-08-25T14:50:00Z	2018-05-21T00:00:00Z	3539640	383955	PRJNA406974	paired ends may be out of order
OSBS_002-M-20160825	OSBS_002-M-20160825-COMP-DNA1	OSBS	HVC57BGX5	BMI_Plate42WellB1	2016-08-25T16:15:00Z	2018-05-21T00:00:00Z	7362374	752472	PRJNA406974	paired ends may be out of order
OSBS_001-M-20180709	OSBS_001-M-20180709-COMP-DNA1	OSBS	HWVWMBGX7	BMI_Plate81WellF4	2018-07-09T15:45:00Z	2018-12-21T00:00:00Z	3822399	3359795	PRJNA406974	paired ends may be out of order
OSBS_003-M-20180709	OSBS_003-M-20180709-COMP-DNA1	OSBS	HWVWMBGX7	BMI_Plate81WellF6	2018-07-09T18:18:00Z	2018-12-21T00:00:00Z	6370065	2311800	PRJNA406974	paired ends may be out of order
OSBS_002-M-20180709	OSBS_002-M-20180709-COMP-DNA1	OSBS	HWVWMBGX7	BMI_Plate81WellF5	2018-07-09T19:46:00Z	2018-12-21T00:00:00Z	11492304	4219913	PRJNA406974	paired ends may be out of order
OSBS_026-M-20180710	OSBS_026-M-20180710-COMP-DNA1	OSBS	HWVWMBGX7	BMI_Plate81WellF7	2018-07-10T14:36:00Z	2018-12-21T00:00:00Z	8397773	3059143	PRJNA406974	paired ends may be out of order
OSBS_031-M-20180710	OSBS_031-M-20180710-COMP-DNA1	OSBS	HWVWMBGX7	BMI_Plate81WellF10	2018-07-10T15:25:00Z	2018-12-21T00:00:00Z	2053559	741956	PRJNA406974	paired ends may be out of order
OSBS_027-M-20180710	OSBS_027-M-20180710-COMP-DNA1	OSBS	HWVWMBGX7	BMI_Plate81WellF8	2018-07-10T15:57:00Z	2018-12-21T00:00:00Z	13727795	6846928	PRJNA406974	paired ends may be out of order
OSBS_029-M-20180710	OSBS_029-M-20180710-COMP-DNA1	OSBS	HWVWMBGX7	BMI_Plate81WellF9	2018-07-10T16:57:00Z	2018-12-21T00:00:00Z	10986848	6974470	PRJNA406974	paired ends may be out of order
GUAN_002-M-20160927	GUAN_002-M-20160927-COMP-DNA1	GUAN	HFWM5BGX7	BMI_Plate68WellD3	2016-09-27T13:45:00Z	2018-08-29T00:00:00Z	13018917	7180375	PRJNA406974	paired ends may be out of order
GUAN_004-M-20160927	GUAN_004-M-20160927-COMP-DNA1	GUAN	HFWM5BGX7	BMI_Plate68WellE3	2016-09-27T16:30:00Z	2018-08-29T00:00:00Z	18431937	10501293	PRJNA406974	paired ends may be out of order
GUAN_001-M-20160928	GUAN_001-M-20160928-COMP-DNA1	GUAN	HFWM5BGX7	BMI_Plate68WellD2	2016-09-28T12:40:00Z	2018-08-29T00:00:00Z	6247251	2841548	PRJNA406974	paired ends may be out of order
GUAN_007-M-20160928	GUAN_007-M-20160928-COMP-DNA2	GUAN	HWVCLBGX7	BMI_Plate75WellF11	2016-09-28T15:00:00Z	2018-12-04T00:00:00Z	11008954	6968707	PRJNA406974	paired ends may be out of order
GUAN_003-M-20160928	GUAN_003-M-20160928-COMP-DNA1	GUAN	HFWM5BGX7	BMI_Plate68WellE2	2016-09-28T17:30:00Z	2018-08-29T00:00:00Z	9368924	8459735	PRJNA406974	paired ends may be out of order
GUAN_049-M-20161004	GUAN_049-M-20161004-COMP-DNA1	GUAN	HL77TBGX7	BMI_Plate68WellH3	2016-10-04T12:30:00Z	2018-09-04T00:00:00Z	7838217	5216913	PRJNA406974	paired ends may be out of order
GUAN_048-M-20161004	GUAN_048-M-20161004-COMP-DNA1	GUAN	HL77TBGX7	BMI_Plate68WellH2	2016-10-04T15:24:00Z	2018-09-04T00:00:00Z	9722593	3415095	PRJNA406974	paired ends may be out of order
GUAN_042-M-20161004	GUAN_042-M-20161004-COMP-DNA1	GUAN	HL77TBGX7	BMI_Plate68WellG2	2016-10-04T17:50:00Z	2018-09-04T00:00:00Z	7879555	2985673	PRJNA406974	paired ends may be out of order
GUAN_006-M-20161005	GUAN_006-M-20161005-COMP-DNA1	GUAN	HFWM5BGX7	BMI_Plate68WellF2	2016-10-05T12:33:00Z	2018-08-29T00:00:00Z	6071697	2552345	PRJNA406974	paired ends may be out of order
